순번,성별,생년,국적명,체류자격,학교명
217,남,1991,중국,학사과정,국립부경대학교
218,여,1991,중국,교환학생,부산외국어대학교
219,남,1991,우즈베키스탄,학사과정,충북대학교
220,남,1991,중국,학사과정,군산대학교
221,여,1991,스웨덴,교환학생,중앙대학교
222,여,1991,중국,학사과정,대진대학교
223,여,1991,중국,학사과정,청주대학교
224,여,1991,베트남,학사과정,청운대학교 인천캠퍼스
225,여,1991,중국,학사과정,목포대학교
226,여,1991,중국,학사과정,청주대학교
227,여,1991,중국,학사과정,경북대학교
228,남,1991,중국,대학부설 어학원 연수,삼육대학교
229,남,1991,중국,대학부설 어학원 연수,선문대학교
230,여,1991,미얀마,석사과정,건국대학교
231,여,1991,오스트레일리아,교환학생,서울대학교
232,여,1991,중국,교환학생,가천대학교
233,남,1991,중국,학사과정,평택대학교
234,여,1991,베트남,학사과정,숙명여자대학교
235,여,1991,중국,학사과정,순천향대학교(학)
236,남,1991,중국,학사과정,경기대학교
237,남,1991,중국,전문학사과정,대림대학
238,남,1991,프랑스,교환학생,인하대학교
239,여,1991,중국,석사과정,서울대학교
240,여,1991,중국,교환학생,국립부경대학교
241,여,1991,중국,교환학생,신라대학교
242,여,1991,러시아(연방),석사과정,성균관대학교
243,여,1991,중국,석사과정,건국대학교
244,여,1991,중국,석사과정,한양대학교 대학원
245,남,1991,중국,학사과정,남부대학교
246,남,1991,중국,학사과정,영남대학교
247,남,1991,중국,학사과정,안동대학교
248,남,1991,중국,대학부설 어학원 연수,세명대학교
249,여,1991,중국,학사과정,부산예술대학
250,여,1991,베트남,대학부설 어학원 연수,성공회대학교
251,여,1991,중국,학사과정,대구가톨릭대학교
252,여,1991,중국,대학부설 어학원 연수,경북대학교
253,여,1990,중국,석사과정,순천대학교
254,남,1991,멕시코,교환학생,한국외국어대학교
255,남,1991,중국,대학부설 어학원 연수,삼육대학교
256,남,1991,중국,학사과정,순천향대학교(학)
257,남,1991,중국,학사과정,연세대학교
258,여,1991,중국,학사과정,배재대학교
259,여,1991,중국,교환학생,광주대학교
260,여,1991,베트남,대학부설 어학원 연수,전주비전대학교
261,여,1991,한국계중국인,학사과정,수원대학교
262,여,1991,중국,학사과정,경희대학교
263,여,1991,인도네시아,학사과정,영산대학교
264,여,1991,중국,학사과정,부산대학교
265,여,1991,중국,학사과정,경희대학교국제캠퍼스
266,여,1991,카자흐스탄,석사과정,(학)연세대학교
267,남,1991,말레이시아,학사과정,고려대학교
268,여,1991,중국,학사과정,상명대학교
269,여,1991,중국,교환학생,목원대학교
270,여,1991,중국,대학부설 어학원 연수,충남대학교
271,여,1991,중국,석사과정,성균관대학교
272,여,1991,중국,학사과정,전남대학교
273,남,1991,중국,학사과정,경희대학교
274,남,1991,중국,학사과정,성균관대학교
275,남,1991,중국,학사과정,호서대학교
276,여,1991,중국,학사과정,중앙대학교
277,여,1991,일본,학사과정,한국외국어대학교
278,남,1991,중국,교환학생,인제대학교
279,여,1991,중국,학사과정,국민대학교
280,여,1991,중국,학사과정,부산대학교
281,남,1991,미국,교환학생,(학)연세대학교
282,여,1991,중국,학사과정,한양대학교
283,여,1991,중국,석사과정,성균관대학교
284,여,1991,사우디아라비아,대학부설 어학원 연수,영산대학교
285,여,1991,중국,학사과정,동국대학교
286,여,1991,중국,학사과정,한양대학교
287,남,1991,필리핀,석사과정,건국대학교
288,남,1991,타이,학사과정,한국과학기술원
289,남,1991,타이완,교환학생,호남대학교
290,여,1991,중국,대학부설 어학원 연수,중앙대학교
291,여,1991,중국,교환학생,경기대학교
292,여,1991,중국,학사과정,수원대학교
293,여,1991,중국,학사과정,고려대학교
294,여,1991,일본,학사과정,이화여자대학교
295,여,1991,방글라데시,석사과정,울산대학교
296,여,1991,중국,교환학생,강원대학교삼척캠퍼스
297,남,1991,인도,대학부설 어학원 연수,국제신학대학원대학교
298,여,1991,중국,대학부설 어학원 연수,건국대학교
299,여,1991,타이완,교환학생,숙명여자대학교
300,여,1991,중국,학사과정,중앙대학교
301,여,1991,중국,학사과정,백석대학교
302,여,1991,타이완,교환학생,중앙대학교
303,남,1991,베트남,석사과정,한양대학교
304,남,1991,중국,교환학생,건국대학교
305,남,1991,중국,학사과정,고려대학교
306,남,1991,중국,학사과정,국립부경대학교
307,여,1991,중국,학사과정,성균관대학교
308,남,1991,중국,학사과정,영남대학교
309,남,1991,모로코,대학부설 어학원 연수,우송대학교
310,여,1991,러시아(연방),교환학생,경북대학교
311,여,1991,중국,학사과정,중부대학교
312,여,1991,중국,학사과정,경기대학교
313,여,1991,인도네시아,석사과정,서울과학기술대학교
314,여,1991,중국,학사과정,이화여자대학교
315,남,1991,중국,학사과정,전남대학교
316,남,1991,중국,학사과정,평택대학교
