"국적","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"앙골라","여(F)","0","3","1","0","0","0","0","6"
"앤티카바부다","남(M)","0","0","0","0","0","0","0","0"
"앤티카바부다","여(F)","0","0","1","0","0","0","0","0"
"에리트레아","남(M)","0","0","1","0","0","0","0","0"
"에리트레아","여(F)","0","0","0","0","0","0","0","0"
"에스토니아","남(M)","0","0","0","0","0","0","0","0"
"에스토니아","여(F)","0","0","0","0","0","3","0","1"
"에콰도르","남(M)","0","0","3","0","0","0","0","3"
"에콰도르","여(F)","0","2","3","0","0","1","0","3"
"에티오피아","남(M)","3","6","59","17","0","0","0","19"
"에티오피아","여(F)","0","7","14","1","0","0","0","7"
"엘살바도르","남(M)","0","7","3","0","0","0","0","1"
"엘살바도르","여(F)","1","1","1","0","0","0","0","3"
"영국","남(M)","0","8","15","2","0","14","0","14"
"영국","여(F)","0","5","2","0","0","15","0","7"
"예멘공화국","남(M)","0","5","4","3","0","0","0","4"
"예멘공화국","여(F)","0","0","0","0","0","0","0","0"
"오만","남(M)","0","0","0","0","0","0","0","1"
"오만","여(F)","0","0","0","0","0","0","0","0"
"오스트레일리아","남(M)","0","5","7","1","0","15","0","9"
"오스트레일리아","여(F)","1","1","2","0","0","13","0","5"
"오스트리아","남(M)","0","3","1","3","0","19","0","1"
"오스트리아","여(F)","0","0","1","0","0","10","0","1"
"온두라스","남(M)","0","0","1","0","0","0","0","0"
"온두라스","여(F)","0","0","4","0","0","0","0","2"
"요르단","남(M)","0","0","15","4","8","0","0","1"
"요르단","여(F)","0","0","3","0","0","0","0","2"
"우간다","남(M)","0","12","16","1","0","1","0","13"
"우간다","여(F)","1","2","7","0","0","0","0","1"
"우즈베키스탄","남(M)","24","105","135","28","1","17","0","250"
"우즈베키스탄","여(F)","4","43","32","10","0","7","0","46"
"우크라이나","남(M)","0","9","15","3","1","1","0","5"
"우크라이나","여(F)","0","6","19","1","0","5","0","17"
"이라크","남(M)","1","0","2","6","1","0","0","1"
"이라크","여(F)","0","0","4","0","0","0","0","0"
"이란","남(M)","1","13","23","69","5","0","0","10"
"이란","여(F)","0","6","12","20","2","1","0","17"
"이스라엘","남(M)","0","0","2","0","0","2","0","2"
"이스라엘","여(F)","0","0","2","0","0","1","0","1"
"이집트","남(M)","3","3","14","32","2","2","1","5"
"이집트","여(F)","0","4","10","2","0","1","0","3"
"이탈리아","남(M)","1","2","4","1","0","10","0","6"
"이탈리아","여(F)","0","2","2","1","0","11","0","9"
"인도","남(M)","23","15","114","437","1","2","0","24"
