"국적명","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","한국어연수"
"파푸아뉴기니","남(M)","0","0","0","0","0","0","1"
"파푸아뉴기니","여(F)","0","0","1","0","0","0","0"
"팔라우","남(M)","0","0","0","0","0","0","1"
"팔라우","여(F)","0","0","0","0","0","0","0"
"팔레스타인","남(M)","0","0","0","1","0","0","0"
"팔레스타인","여(F)","0","1","0","0","0","0","0"
"페루","남(M)","1","1","5","0","0","1","2"
"페루","여(F)","3","4","3","0","0","2","5"
"포르투갈","남(M)","0","0","0","0","0","0","1"
"포르투갈","여(F)","0","0","0","0","0","0","1"
"폴란드","남(M)","1","8","7","2","1","6","4"
"폴란드","여(F)","4","1","5","0","1","14","3"
"프랑스","남(M)","23","13","22","6","1","80","26"
"프랑스","여(F)","8","6","8","1","0","78","17"
"피지","남(M)","3","0","5","1","0","0","3"
"피지","여(F)","0","2","5","0","0","0","1"
"핀란드","남(M)","0","15","2","1","1","29","1"
"핀란드","여(F)","0","5","0","0","0","12","0"
"필리핀","남(M)","5","33","96","31","0","8","16"
"필리핀","여(F)","8","47","142","22","0","7","49"
"한국계러시아인","남(M)","0","2","0","0","0","0","0"
"한국계러시아인","여(F)","0","4","3","0","0","0","2"
"한국계중국인","남(M)","196","744","169","56","0","1","175"
"한국계중국인","여(F)","171","941","254","47","1","6","198"
"헝가리","남(M)","0","0","3","0","0","1","2"
"헝가리","여(F)","1","1","1","1","0","2","3"
"홍콩","남(M)","5","6","1","0","0","6","7"
"홍콩","여(F)","4","30","5","0","0","22","49"
"홍콩거주난민","남(M)","0","0","0","0","0","0","0"
"홍콩거주난민","여(F)","0","0","0","0","0","0","0"
