성별,연령대,국적명,체류자격,학교명
여,1980년대생,중국,학사유학,건국대학교
여,1990년대생,중국,학사유학,상명대학교
여,1990년대생,중국,학사유학,제주국제대학교
여,1990년대생,중국,학사유학,영남대학교
여,1990년대생,베트남,석사유학,
여,1990년대생,중국,학사유학,경북대학교
여,1990년대생,중국,학사유학,우송대학교
남,1990년대생,중국,전문학사,명지전문대학
여,1990년대생,중국,학사유학,중앙대학교
여,1990년대생,중국,학사유학,한양대학교
여,1990년대생,중국,학사유학,한국국제대학교
여,1990년대생,중국,학사유학,한양대학교
여,1990년대생,중국,석사유학,부산외국어대학교
여,1990년대생,중국,석사유학,동서대학교
여,1990년대생,중국,대학부설어학원연수,경성대학교
여,1990년대생,중국,학사유학,국민대학교
여,1990년대생,중국,학사유학,부산대학교
여,1990년대생,중국,석사유학,중앙대학교
여,1980년대생,중국,석사유학,제주대학교
여,1980년대생,중국,대학부설어학원연수,광운대학교
여,1980년대생,중국,학사유학,공주대학교
여,1980년대생,중국,석사유학,전북대학교
여,1990년대생,중국,석사유학,동국대학교
여,1990년대생,캄보디아,학사유학,협성대학교
여,1990년대생,중국,석사유학,경기대학교
여,1990년대생,중국,학사유학,우송대학교
여,1990년대생,중국,대학부설어학원연수,충남대학교
여,1990년대생,중국,석사유학,남부대학교
여,1990년대생,베트남,석사유학,한국과학기술원
여,1990년대생,중국,학사유학,선문대학교
여,1990년대생,중국,학사유학,충남대학교
남,1990년대생,중국,석사유학,한남대학교
남,1990년대생,중국,대학부설어학원연수,광신대학교
남,1990년대생,중국,석사유학,경상대학교
여,1990년대생,중국,학사유학,고려대학교
여,1990년대생,오스트리아,석사유학,서울대학교
여,1990년대생,타이,대학부설어학원연수,(학)연세대학교
남,1990년대생,중국,대학부설어학원연수,가천대학교
남,1990년대생,중국,학사유학,건국대학교
여,1990년대생,중국,교환학생,광주대학교
여,1990년대생,스페인,대학부설어학원연수,충북대학교
여,1990년대생,중국,학사유학,경북대학교
여,1990년대생,중국,석사유학,전남대학교
여,1990년대생,베트남,석사유학,창원대학교
남,1990년대생,중국,학사유학,성공회대학교
여,1990년대생,중국,대학부설어학원연수,중앙대학교
여,1990년대생,중국,대학부설어학원연수,성균관대학교
여,1990년대생,말레이시아,학사유학,한양대학교
여,1990년대생,중국,대학부설어학원연수,김천과학대학
남,1990년대생,중국,학사유학,경기대학교
남,1990년대생,중국,대학부설어학원연수,용인송담대학
남,1990년대생,프랑스,석사유학,한국과학기술원
남,1990년대생,중국,대학부설어학원연수,고려대학교세종캠퍼스
남,1990년대생,중국,학사유학,영남대학교
여,1990년대생,파키스탄,대학부설어학원연수,동국대학교 경주캠퍼스
여,1980년대생,중국,석사유학,세종대학교
남,1990년대생,중국,석사유학,선문대학교
남,1990년대생,중국,석사유학,조선대학교
남,1980년대생,베트남,박사유학,충남대학교
