"국적명","성별","전문학사","학사유학","석사유학","박사유학","연구유학","교환학생","교환학생","한국어연수"
"에티오피아","여(F)","2","7","9","1","0","0","0","7"
"엘살바도르","남(M)","0","6","1","0","0","0","0","3"
"엘살바도르","여(F)","0","0","4","0","0","0","0","3"
"영국","남(M)","2","12","15","2","0","1","13","12"
"영국","여(F)","1","9","5","0","0","0","19","8"
"예멘공화국","남(M)","2","3","10","1","0","0","0","4"
"예멘공화국","여(F)","0","0","0","0","0","0","0","0"
"오스트레일리아","남(M)","3","3","9","1","0","0","13","6"
"오스트레일리아","여(F)","0","1","2","1","0","1","9","5"
"오스트리아","남(M)","2","2","2","3","0","1","7","1"
"오스트리아","여(F)","0","2","1","0","0","0","5","2"
"온두라스","남(M)","0","0","2","0","0","0","0","0"
"온두라스","여(F)","2","0","3","0","0","0","0","3"
"요르단","남(M)","0","1","5","5","0","0","0","2"
"요르단","여(F)","1","0","2","2","0","0","0","1"
"우간다","남(M)","0","9","13","0","0","0","0","9"
"우간다","여(F)","0","2","5","0","0","0","0","3"
"우루과이","남(M)","0","0","0","0","0","0","0","0"
"우루과이","여(F)","0","0","0","0","0","0","1","0"
"우즈베키스탄","남(M)","41","108","134","37","1","0","8","257"
"우즈베키스탄","여(F)","2","37","31","10","0","1","2","32"
"우크라이나","남(M)","0","8","9","2","0","0","1","5"
"우크라이나","여(F)","0","5","20","1","0","0","5","7"
"이라크","남(M)","1","0","5","5","1","0","0","0"
"이라크","여(F)","0","0","2","0","1","0","0","1"
"이란","남(M)","0","9","22","62","7","0","0","18"
"이란","여(F)","0","3","9","13","3","0","0","13"
"이스라엘","남(M)","1","0","1","1","0","0","2","2"
"이스라엘","여(F)","0","0","3","0","0","1","2","1"
"이집트","남(M)","3","2","11","29","0","0","1","5"
"이집트","여(F)","0","4","9","3","0","0","1","4"
"이탈리아","남(M)","2","2","4","3","0","1","6","6"
"이탈리아","여(F)","0","3","2","2","0","0","6","9"
"인도","남(M)","22","24","118","396","1","3","1","32"
"인도","여(F)","9","5","42","86","2","0","0","12"
"인도네시아","남(M)","0","39","159","83","2","1","11","25"
"인도네시아","여(F)","1","114","100","30","1","1","7","41"
"일본","남(M)","14","181","70","34","3","3","34","123"
"일본","여(F)","40","548","121","24","3","8","218","659"
"자메이카","남(M)","0","0","0","0","0","0","0","0"
"자메이카","여(F)","0","0","0","0","0","0","1","2"
"잠비아","남(M)","0","2","4","0","0","0","0","2"
"잠비아","여(F)","1","1","0","0","0","0","0","1"
"중국","남(M)","1645","16245","3140","665","9","50","607","7921"
"중국","여(F)","1299","16996","4969","720","6","197","2022","6568"
"중앙아프리카공화국","남(M)","1","0","1","0","0","0","0","0"
"중앙아프리카공화국","여(F)","0","0","0","0","0","0","0","0"
"짐바브웨","남(M)","5","0","0","1","0","0","0","2"
"짐바브웨","여(F)","0","0","7","0","0","0","0","2"
"차드","남(M)","0","1","0","0","0","0","0","4"
"차드","여(F)","0","0","0","0","0","0","0","1"
"체코","남(M)","1","0","2","0","0","0","4","3"
"체코","여(F)","2","2","5","0","0","1","7","5"
"칠레","남(M)","0","2","4","2","0","0","0","6"
"칠레","여(F)","0","2","4","0","0","0","1","1"
"카메룬","남(M)","2","8","55","12","0","1","0","15"
"카메룬","여(F)","2","6","17","4","0","0","0","3"
"카자흐스탄","남(M)","7","46","16","0","0","0","5","16"
"카자흐스탄","여(F)","31","42","37","2","0","4","21","27"
"카타르","남(M)","0","5","0","0","0","0","0","0"
"카타르","여(F)","0","1","0","0","0","0","0","0"
"캄보디아","남(M)","6","42","89","11","0","0","8","49"
"캄보디아","여(F)","2","33","33","1","0","1","2","27"
"캐나다","남(M)","2","14","27","1","1","0","14","10"
"캐나다","여(F)","2","15","6","2","0","1","21","5"
"케냐","남(M)","0","25","27","7","0","0","2","11"
"케냐","여(F)","1","5","11","0","0","0","3","6"
"코스타리카","남(M)","0","1","2","0","0","0","1","3"
"코스타리카","여(F)","0","3","2","0","0","0","0","1"
"코트디부아르","남(M)","0","1","0","3","0","0","0","4"
"코트디부아르","여(F)","0","0","0","0","0","0","0","0"
"콜롬비아","남(M)","1","4","8","3","0","0","5","9"
"콜롬비아","여(F)","0","6","6","0","0","1","2","7"
"콩고","남(M)","0","1","1","1","0","0","0","0"
"콩고","여(F)","0","1","0","0","0","0","0","1"
"콩고민주공화국","남(M)","1","10","6","1","0","0","3","4"
"콩고민주공화국","여(F)","0","6","2","0","0","0","1","3"
"쿠바","남(M)","0","0","1","0","0","0","0","0"
"쿠바","여(F)","0","0","0","0","0","0","0","0"
"크로아티아","남(M)","0","0","0","0","0","0","1","0"
"크로아티아","여(F)","1","0","0","0","0","0","0","1"
"키르기스스탄","남(M)","5","15","12","1","0","0","0","27"
"키르기스스탄","여(F)","4","14","20","1","0","0","6","26"
"키프로스","남(M)","0","0","1","0","0","0","0","0"
"키프로스","여(F)","0","0","0","0","0","0","0","0"
"타이","남(M)","2","32","33","16","0","0","3","23"
"타이","여(F)","16","53","98","39","1","0","7","85"
"타이완","남(M)","4","6","19","7","0","1","13","29"
"타이완","여(F)","64","52","61","11","1","20","97","185"
"타지키스탄","남(M)","2","12","11","0","0","1","0","15"
"타지키스탄","여(F)","0","3","1","0","0","0","0","4"
"탄자니아","남(M)","3","16","29","8","0","0","1","10"
"탄자니아","여(F)","0","7","17","1","0","0","0","4"
"터키","남(M)","1","35","9","9","0","1","10","18"
"터키","여(F)","0","16","18","1","0","0","16","17"
"토고","남(M)","0","5","3","0","0","0","0","1"
"토고","여(F)","0","0","1","0","0","0","0","0"
"투르크메니스탄","남(M)","0","10","2","0","0","0","0","1"
"투르크메니스탄","여(F)","0","1","1","0","0","0","0","0"
"투발루","남(M)","0","0","1","0","0","0","0","0"
"투발루","여(F)","0","0","0","0","0","0","0","0"
"튀니지","남(M)","1","2","5","1","0","0","1","1"
"튀니지","여(F)","0","2","3","1","0","0","1","1"
"티모르민주공화국","남(M)","0","6","5","0","0","0","1","1"
"티모르민주공화국","여(F)","0","3","0","0","0","0","0","1"
"파나마","남(M)","0","3","4","0","0","0","0","0"
"파나마","여(F)","0","2","0","0","0","0","1","2"
"파라과이","남(M)","0","8","0","0","0","0","0","3"
"파라과이","여(F)","0","10","1","1","0","0","0","1"
"파키스탄","남(M)","26","39","149","191","1","0","4","46"
"파키스탄","여(F)","6","6","25","17","0","0","0","3"
"파푸아뉴기니","남(M)","1","0","0","0","0","0","0","1"
"파푸아뉴기니","여(F)","0","0","1","0","0","0","0","0"
"팔라우","남(M)","0","1","0","0","0","0","0","0"
"팔라우","여(F)","0","0","0","0","0","0","0","0"
"팔레스타인","남(M)","0","0","2","1","0","0","0","1"
"팔레스타인","여(F)","0","1","0","0","0","0","0","0"
"페루","남(M)","2","5","6","0","0","0","0","4"
"페루","여(F)","1","5","5","0","0","0","1","4"
"포르투갈","남(M)","0","0","0","0","0","0","1","1"
"포르투갈","여(F)","1","0","0","0","0","0","1","1"
"폴란드","남(M)","3","6","9","3","0","2","6","5"
"폴란드","여(F)","5","2","8","0","2","14","4","6"
"프랑스","남(M)","26","10","22","6","0","35","93","32"
"프랑스","여(F)","22","13","10","1","0","15","96","34"
"피지","남(M)","1","0","10","0","0","0","0","2"
"피지","여(F)","0","1","5","0","0","0","0","0"
"핀란드","남(M)","0","11","1","0","1","0","10","4"
"핀란드","여(F)","0","6","1","0","0","1","18","0"
"필리핀","남(M)","16","37","108","31","0","1","3","21"
"필리핀","여(F)","40","35","156","20","1","0","4","57"
"한국계러시아인","남(M)","1","2","0","0","0","0","0","1"
"한국계러시아인","여(F)","0","6","1","0","0","0","0","0"
"한국계중국인","남(M)","153","628","117","27","0","0","0","120"
"한국계중국인","여(F)","117","766","145","27","1","0","7","104"
"헝가리","남(M)","2","1","2","0","0","3","2","1"
"헝가리","여(F)","1","2","1","1","0","0","3","1"
"홍콩","남(M)","7","6","1","0","0","2","11","6"
"홍콩","여(F)","14","23","6","0","0","7","31","56"
"홍콩거주난민","남(M)","0","0","0","0","0","0","0","0"
"홍콩거주난민","여(F)","0","0","0","0","0","1","0","0"
