"국적","성별","유학(D-2)","전문학사(D-2-1)","학사유학(D-2-2)","석사유학(D-2-3)","박사유학(D-2-4)","연구유학(D-2-5)","교환학생(D-2-6)","교환학생(D-2-F)","일반연수(D-4)","대학부설어학원연수(D","외국어연수(D-4-7)","기타"
"슬로베니아","(F)","7","0","0","2","0","0","5","0","5","5","0","7"
"그 루 지 야","(M)","4","0","0","4","0","0","0","0","0","0","0","11"
"그 루 지 야","(F)","2","0","1","1","0","0","0","0","3","3","0","8"
"알 바 니 아","(M)","1","0","0","1","0","0","0","0","1","1","0","14"
"알 바 니 아","(F)","1","0","0","1","0","0","0","0","1","1","0","7"
"에스토니아","(M)","1","0","0","0","0","0","1","0","1","1","0","7"
"에스토니아","(F)","4","0","2","0","0","0","2","0","2","2","0","9"
"아이슬란드","(M)","1","0","0","1","0","0","0","0","0","0","0","17"
"아이슬란드","(F)","0","0","0","0","0","0","0","0","1","1","0","3"
"몬테네그로","(M)","0","0","0","0","0","0","0","0","0","0","0","17"
"몬테네그로","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"몰      타","(M)","0","0","0","0","0","0","0","0","0","0","0","13"
"몰      타","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"마케도니아","(M)","0","0","0","0","0","0","0","0","0","0","0","6"
"마케도니아","(F)","1","0","0","0","0","0","1","0","0","0","0","5"
"보스니아-헤르체고비나","(M)","0","0","0","0","0","0","0","0","0","0","0","4"
"보스니아-헤르체고비나","(F)","0","0","0","0","0","0","0","0","0","0","0","4"
"영국 외지민","(M)","0","0","0","0","0","0","0","0","0","0","0","1"
"영국 외지민","(F)","1","0","0","1","0","0","0","0","0","0","0","6"
"룩셈부르크","(M)","0","0","0","0","0","0","0","0","0","0","0","4"
"룩셈부르크","(F)","1","0","0","1","0","0","0","0","0","0","0","2"
"세르비아 몬테네그로","(M)","0","0","0","0","0","0","0","0","0","0","0","5"
"세르비아 몬테네그로","(F)","0","0","0","0","0","0","0","0","0","0","0","1"
"코소보","(M)","0","0","0","0","0","0","0","0","0","0","0","3"
